ID,Education
0,10th Pass
1,10th Pass
2,Graduate
3,Post Graduate
4,Graduate
5,Post Graduate
6,Post Graduate
7,Post Graduate
8,Graduate
9,8th Pass
10,Graduate Professional
11,10th Pass
12,Graduate Professional
13,Post Graduate
14,12th Pass
15,Post Graduate
16,Graduate
17,Graduate Professional
18,Graduate Professional
19,12th Pass
20,Graduate
21,Post Graduate
22,Graduate
23,Post Graduate
24,10th Pass
25,12th Pass
26,Post Graduate
27,12th Pass
28,Graduate
29,Graduate
30,Post Graduate
31,12th Pass
32,10th Pass
33,Graduate
34,Graduate
35,Graduate Professional
36,Graduate Professional
37,Graduate
38,Graduate
39,12th Pass
40,Graduate Professional
41,Post Graduate
42,12th Pass
43,Post Graduate
44,Post Graduate
45,Post Graduate
46,10th Pass
47,Graduate
48,Post Graduate
49,Graduate
50,Graduate Professional
51,Graduate Professional
52,Graduate
53,Post Graduate
54,Graduate Professional
55,12th Pass
56,12th Pass
57,Post Graduate
58,Graduate
59,10th Pass
60,Graduate
61,Graduate Professional
62,Graduate
63,Graduate
64,Graduate
65,Graduate
66,Graduate Professional
67,Post Graduate
68,Graduate
69,12th Pass
70,Graduate Professional
71,Post Graduate
72,Post Graduate
73,10th Pass
74,Graduate
75,12th Pass
76,Doctorate
77,10th Pass
78,Doctorate
79,12th Pass
80,12th Pass
81,Post Graduate
82,Post Graduate
83,12th Pass
84,Post Graduate
85,Post Graduate
86,Graduate Professional
87,12th Pass
88,10th Pass
89,Graduate
90,Graduate
91,10th Pass
92,12th Pass
93,12th Pass
94,Graduate
95,Graduate
96,Graduate Professional
97,10th Pass
98,Post Graduate
99,Post Graduate
100,Graduate
101,Graduate
102,Graduate
103,Graduate
104,Graduate
105,Post Graduate
106,Graduate Professional
107,10th Pass
108,12th Pass
109,Literate
110,10th Pass
111,Graduate
112,Post Graduate
113,Post Graduate
114,12th Pass
115,12th Pass
116,Post Graduate
117,10th Pass
118,12th Pass
119,Post Graduate
120,Graduate
121,Graduate
122,Graduate Professional
123,10th Pass
124,12th Pass
125,Post Graduate
126,Graduate
127,Post Graduate
128,Post Graduate
129,Graduate
130,Graduate
131,12th Pass
132,12th Pass
133,Graduate
134,10th Pass
135,Post Graduate
136,Post Graduate
137,10th Pass
138,Post Graduate
139,8th Pass
140,Graduate Professional
141,12th Pass
142,Graduate
143,Post Graduate
144,Doctorate
145,Post Graduate
146,Post Graduate
147,Graduate Professional
148,Graduate Professional
149,10th Pass
150,Post Graduate
151,Graduate
152,Graduate
153,12th Pass
154,12th Pass
155,Post Graduate
156,Post Graduate
157,Post Graduate
158,10th Pass
159,12th Pass
160,10th Pass
161,12th Pass
162,Graduate Professional
163,Graduate
164,Graduate Professional
165,8th Pass
166,Graduate Professional
167,Graduate
168,10th Pass
169,8th Pass
170,8th Pass
171,Graduate
172,Graduate
173,Post Graduate
174,Graduate Professional
175,Graduate
176,12th Pass
177,10th Pass
178,Post Graduate
179,Graduate
180,Graduate Professional
181,12th Pass
182,Graduate
183,Graduate
184,Graduate
185,Graduate Professional
186,10th Pass
187,Post Graduate
188,Post Graduate
189,Graduate Professional
190,Graduate Professional
191,10th Pass
192,12th Pass
193,Post Graduate
194,Graduate Professional
195,Graduate
196,Graduate
197,Graduate
198,Graduate Professional
199,Graduate
200,12th Pass
201,Post Graduate
202,Graduate
203,Graduate
204,12th Pass
205,10th Pass
206,Graduate
207,10th Pass
208,Graduate
209,12th Pass
210,10th Pass
211,Graduate
212,Graduate
213,Graduate
214,Graduate
215,Post Graduate
216,Post Graduate
217,Post Graduate
218,10th Pass
219,10th Pass
220,12th Pass
221,Graduate
222,Post Graduate
223,Graduate
224,10th Pass
225,Graduate
226,Graduate
227,Graduate
228,Graduate
229,12th Pass
230,Post Graduate
231,Graduate
232,Post Graduate
233,Graduate Professional
234,Others
235,Graduate
236,Post Graduate
237,12th Pass
238,Graduate
239,Post Graduate
240,12th Pass
241,Post Graduate
242,Graduate
243,10th Pass
244,8th Pass
245,Post Graduate
246,12th Pass
247,Post Graduate
248,Graduate
249,Literate
250,Graduate Professional
251,10th Pass
252,Graduate
253,12th Pass
254,Graduate
255,Graduate
256,Graduate
257,Post Graduate
258,Graduate Professional
259,10th Pass
260,12th Pass
261,Doctorate
262,Post Graduate
263,Graduate
264,Graduate
265,Post Graduate
266,12th Pass
267,Doctorate
268,Graduate
269,10th Pass
270,10th Pass
271,10th Pass
272,Post Graduate
273,10th Pass
274,Graduate
275,Post Graduate
276,Graduate
277,Graduate
278,Graduate
279,Post Graduate
280,Post Graduate
281,10th Pass
282,12th Pass
283,Graduate
284,Graduate
285,10th Pass
286,Graduate Professional
287,12th Pass
288,12th Pass
289,Literate
290,Graduate
291,Post Graduate
292,Graduate
293,Graduate
294,Graduate Professional
295,Graduate
296,Graduate
297,Post Graduate
298,10th Pass
299,Graduate
300,Graduate Professional
301,Post Graduate
302,Graduate
303,Post Graduate
304,10th Pass
305,Graduate Professional
306,Graduate Professional
307,Graduate
308,Graduate
309,Post Graduate
310,Graduate
311,10th Pass
312,Post Graduate
313,Graduate
314,Post Graduate
315,Graduate Professional
316,12th Pass
317,10th Pass
318,Graduate
319,Graduate
320,Graduate
321,10th Pass
322,10th Pass
323,12th Pass
324,Others
325,Graduate
326,10th Pass
327,Post Graduate
328,Doctorate
329,Graduate
330,Graduate
331,Post Graduate
332,Graduate
333,Graduate
334,Graduate
335,Graduate
336,10th Pass
337,12th Pass
338,Graduate
339,Graduate Professional
340,8th Pass
341,Graduate Professional
342,Graduate Professional
343,12th Pass
344,10th Pass
345,12th Pass
346,Graduate
347,Graduate
348,Post Graduate
349,Post Graduate
350,Graduate Professional
351,Post Graduate
352,Graduate
353,Doctorate
354,Post Graduate
355,Graduate
356,10th Pass
357,Graduate
358,10th Pass
359,Graduate Professional
360,Graduate
361,Graduate
362,Post Graduate
363,12th Pass
364,12th Pass
365,Graduate
366,10th Pass
367,12th Pass
368,8th Pass
369,Post Graduate
370,Post Graduate
371,Post Graduate
372,Graduate Professional
373,Post Graduate
374,Doctorate
375,Post Graduate
376,Graduate
377,Literate
378,Graduate
379,10th Pass
380,10th Pass
381,Post Graduate
382,12th Pass
383,Post Graduate
384,Doctorate
385,12th Pass
386,10th Pass
387,Post Graduate
388,Post Graduate
389,Graduate
390,Graduate Professional
391,12th Pass
392,Graduate Professional
393,8th Pass
394,10th Pass
395,Graduate
396,Graduate Professional
397,10th Pass
398,10th Pass
399,Post Graduate
400,Graduate
